Contexte gauche,Chaîne,Contexte droit
" matter wi' Ginger,'",'," said tho San@man, s"
trouble me no more:',', cried Auriol. Tho T
"yself to the de@il,'",', he said. And he fol
eatures. e ou lero?',', cried Auriol. @Of c
"Auriol. @Of course,'",', replied the strange
again this evening.','," e Perchance,'' repl"
"ing.'' e Perchance,'",', replied Auriol. TE 
" LODON. 4 Yon will,'",', rejoined the strang
"sncrifice the girl,'",', replied Auriol. @Yo
"nnot help yourself,'",', cried thoe strangcr
to bring her to me.',', @I persist in my re
"sist in my refusal,'",', replied Auriol. e I
" to brare my power,'",', sail tho stranger. 
"iIl then, farewell.'",', And as the words we
"ust been '' callel,'",', ordering his `first
"ing his `first wig,'",', and you may hear th
"tinetion. @Ah, sir,'",'," ha will say, glanci"
"it, sir-quito sure,'",', Or you may see him 
ell as a Christian.',', 94 ACnIOL. And now 
ear l-pretty denr I',', s@eeamel tle magpie
"g pretty about him,'",', thought MIr. Trigge
"t his age might be,'",', The little man taos
" littlo friend, eh7'",', said th@ bnrber. II
ages :-high wages I',', screamed tho magpic
"Is this yours, sie7'",', repliel the littlo 
"crtisement, friend,'",', replied MIr. Trigge
". @Take care, sir 1'",', cried the gentleman
@@l are you abont ?','," 4 Yes I take care, "
"to a saucy witness,'",', cried ITrigge--' ` 
 a careless fcllow.',', @Sarre him right 1'
 @Sarre him right 1',', screamed Mag-`` sar
"' @Beg pardon, sir,'",', cried Watts. @I@ll 
fy you in@a minute.','," @Wcll, my little fr"
", my little fricnd,'",'," observed Trigge, '`"
"t, don't you, sir 1'",', rejoined tha little
"Trigge. @On my own,'",', replied the little 
ur qualifications 2',', @I faney I understa
"ng of the business,'",', replied the little 
 than they are now.',', ITIIE BARBER OP LON
LONDON. Ha1 indeed1','," snid Trigge, langhi"
en Anne's time-eh 2',', e You have hit it e
"it it exactly, sir,'",', replied the little 
 Queen Anne's time.',', @Perhaps you recoll
", my little Nestor,'",', cried Mr. ITrigge. 
"Trigge. @Perfectly,'",', replied the little 
 the Second's time.','," 4You saw 'em, of co"
"saw 'em, of course?'",'," eried the barber, w"
"h a sneer. e I did,'",', replied the little 
"be out of his mind,'",', eriel Trigge. 4 Ia 
olls would observe.',', @I hope I may suit 
" may suit you, sir,'",', said the little man
"g. @Precisely, Mag,'",', sai@ MIr. Irigge; `
re Lord Chaneellor.','," @Well, @'m sorry fo"
", @'m sorry for it,'",', said the little man
y. ee Pretty denr I',', screamel Mfag; `' p
bird yon have got l',', said the sour@looki
"e, sir-that she is,'",', repliod the barber.
 good deal for her.',', ` Little or nothing
Little or nothing I',', screamed Mag-`littl
little@or nothing l',', e What is your name
" your name, friend2'",'," said the gentleman,"
"y names in my time,'",', he replied. `At one
orse-Gregory Morse.',', @An Old Bailey answ
" Old Bailey answer,'",'," cried MIr. Trigge, "
-.'' @Pretty dear 1',', screamed MIag. ``An
you want as place l',', demanded the sour-l
"m nurrowly. @Sadly,'",', replied Morse. @Wel
"l, then, follow me,'",'," said the gentlaman,"
"aid the gentlaman, '",',and @Tll zeo what ca
an be done for yon.',', And they left the s
"u were as week ago,'",'," said Ebba, playfull"
ose gloomy fancies.',', @I@will not indulge
"URIOIL. sweet Ebba,'",', he replied. @But my
lness this e@ening.',', @I never felt so ha
"ever felt so happy,'",', she replied; ``aud 
 her first quarter.',', @The moon in her fi
her first quarter t','," cried Auriol, in a "
 @All then is o@er.',', @What means this su
"s looks. @Oh, Ebba,'",'," he replied, ``I mns"
o late to save you.','," e Oh no, do not lea"
", do not lea@e me l'",', cried Ebba. :I have
le you are with me.',', ee But you do not k
ll be accomplished.',', @Your moody fancies
"to do, dear Auriol,'",'," she rejoined, '` be"
" continuo our walk,'",'," she added, taking l"
" arm kindly. @Ebba,'",'," he cried, ` I implo"
 uuless you aid me.',', LLLLLLLLLLLL rE oON
"'m glad to hear it,'",'," she rejoined, '`' f"
ow not what yon dol',', cried Auriol. @Rele
"fit will be passed,'",', she rejoined. @Let 
 towards the abbey.',', @It is in @ain to s
"uggle against fate,'",'," ejaculated Auriol, "
at a strange placel','," eriol Ebba, gazing "
hat trap leads to 2',', @Into the vault ben
" beneath, no doubt,'",', replied Auriol. @Bu
id we come hither 7','," As he spoke, there "
"er from tha street,'",', she replied. @You a
"not withont reason,'",', he cried. ``I am in
ed it is the truth.',', @Beware 1'' cried a
 truth.'' @Beware 1','," cried a deep voice,"
"t. @Some one spoke,'",', cried Ebba. ``I beg
us quit this place.',', -p i -. . si . . 1 
"TER 103 Come, then,'",', eaid Auriol. t Not 
"l. t Not seo faist,'",', eried a deep voice.
"Ebba, you are mine,'",', eried the stranger.
 brought you to me.',', @It is f@lseI' crie
l yield her to you.',', e Remember your com
"ember your compact,'",', rejoined the strang
"laugh. @Oh, Aurioll'",'," cried Ebba, ' I fea"
"fiend'"" . J He has,'",', replied the strange
" surrendered to me,'",'," And, as he spoke, h"
enounee you wholly.',', 4 Fol l'' cried the
"th, take your doom.'",', And he stamped on t
"ue that is, MIorso1'",', cried TRE BTATUE AT
tively magnificent.',', @I recollect when t
f the Proteetorate.',', @You cannot get tho
"f your head, Morse,'",'," said Loftus, smilin"
"nturies and a half,'",', @Would you could ha
"leanor of Castile,''",'," said Morso, heedles"
"lect was beautiful,'",', @It must have been 
"have been charming,'",'," obser@ed Loftus, ru"
er Cromwell's time.',', @I can tell yon how
" camo to pass, sir,'",'," replied Morse, `` f"
"old,' @AhI indeed 1'",', exclaimed Loftns. %
e full particulars.',', @You shall henr the
"ll henr them, then,'",', replied Morse. :Yon
"ot back his outlay,'",', @Ha1 ha I ha l'' la
"y,'' @Ha1 ha I ha l'",', langhed Loftus. @W@
"me the Restoration,'",', pursued MIorse; `` 
"I rather think not,'",'," @No matter,'' cried"
" not,'' @No matter,'",', cried Loftus; '' he
stal ]more closely.',', xee-;x M I 1 . 1I. 
"nling Gibbons, sir1'",'," oried the dwarf, ee"
"ee Io be sure I am,'",', replied Loftus-`` t
" equally admirable,'",', cried Morse. @Noere
"saw anything finer,'",', rejoined Loftus-'`n
ity-boys. @My eyes.',', eried the street-sw
"een 'uns, ITm done.'",', @Old Spectacles thi
"s found it all ont,'",', remarked the porter
"L.@ @Plesh ma 'art,'",'," eried the Jew, '`at"
"l tell 'ee, master,'",', rejoined the butche
 into as millstone.',', @Only think of livi
ork of art bwfore I','," eried Loftus, qnite"
"at it, old gem'man,'",', eried the porter. @
yon'll admire it'' `,',"Quita true,'' replie"
" it'' `'Quita true,'",'," replied Loftus, fan"
closest inspection.','," @I say, Ned,'' obse"
"ion.'' @I say, Ned,'",', obser@ed one of the
de. See what it is.',', e I'm afraid o' spi
"pikin' myself, Joe,'",', replied tho other; 
"lift, and @Tll try.'",', @Wot are you arter 
 you yotng rascalat',', cried th@ coalheave
tho perlico to you.',', @@ot two proecious 
ious guys these isl',', ericd a ragamuffin 
"m. Here, boy, @ere1'",', @That @ud bo famous
yon young adi@ils I',', eriel an Irish bric
ccable antiquaries.',', TRE STATUE AT CIIAI
"quaries, are they 7'",', screamed the little
" you, Snm ' @Never,'",', replied the porter.
"its of my industry,'",', cried an applewoman
eople in that way 7','," 'Axes pardon, Molly"
"Axes pardon, Molly,'",', said the bricklayer
 didn't obsarre ye.',', @Antiquaries be han
and bad luck to yel','," @WeIl, never heed, "
" never heed, Molly,'",', cried the good-natu
"-law, is that you 7'",', But Loftus was too 
" @Griuling Gibbons,'",'," replied Loftus, wit"
"ne, my good fellow,'",', said tha stout gent
e mobbed presently.','," @Why, how the deril"
"and TI@@l tell you,'",', replied the iron-me
"ad to have met you,'",', pursued Tlorneycrof
as happened to her2',', demanded Loft@s. @Y
o kept in suspense.','," @She has left me,''"
"' @She has left me,'",', replied Thorneyerof
nt father-run away.',', e Run away'' oxelai
ven from your lips.',', 4 Wonld it were not
"is, alasl too trae,'",', rcplied Thorneycrof
 disgraced herself.','," @No, she is too hig"
"rincipled for thit,'",', eriod Loftas. @Rest
 has she run away 7',', @With s young man n
"amed Anriol Darecy,'",', roplied Thor neycro
"never heard of him,'",', said Loftus. @But I
"oftus. @But I ha@e,'",', interposed Morse. @
 tno hundred yenrs.',', @Eh day 1 who@s thi
h day 1 who@s this7',', eried Thorneyeroft.
"e engsged as valet,'",'," replied Loftus. "" H"
n Elizabeth's time.','," ee It's no faney,''"
"' ee It's no faney,'",', ecried Morse. @I as
 clue to find him 1',', asked Thorneyeroft.
" am sorry I cannot,'",', replied Morse. `I o
in the black cloak.',', @What's that yo@ sa
at's that yo@ say 7','," eried Thorneycroft,"
 her disappearance.',', @I shouldn't wonder
"t wonder if he had,'",', replied Morse. @I@b
k gentleman to be--',', @What 1--who 7'' de
--'' @What 1--who 7',', demanded Thorneycro
"ess than the devil,'",'," replied Morso, myst"
usly. @Pshawl poh l',', cried Loftus. @I to
"yeroft, I believe t'",', @My name is Thorney
"rneyeroft, fellow I'",', cried the iron@merc
"er 2 @Exactly, sir,'",', replied the dog-fan
ews of your darter.',', @OI EbUa?'' exclaim
darter.'' @OI EbUa?',', exclaimed Thorneycr
 your news is good.',', :::ccc. I wish it w
'' werry bad hands.','," @That she is, if sh"
"he black gentleman,'",', obsersed Morse. @Vy
"r, that ain't you 7'",'," cried Ginger, gazin"
hat of my dnughter7',', criod Thorneycroft;
l be well rewarde@.',', @I@ll do my best to
"ut any reward, sir,'",'," replied Ginger, '`f"
readful bad hasnds.',', @Do yon allude to M
o Mr. Auriol Darey?',', cried Thorneycrnft.
"lot as your darter,'",', replied Ginger; ' I
mo to my knowledge.',', @Yon alarm me great
"y-these dark hints,'",', cried Thorneycroft.
hat is to be done 1',', @I shall know in a 
"now in a few hours,'",', replied Ginger. @I 
on must come alone.',', 4 I should wish thi
"w, to aceompany me,'",', said Thorneyeroft. 
" couldn't help you,'",', replied Ginger. @I@
eet again ere ]ong.',', And withont a word 
" Mfr. Thornoycroft,'",'," said Ginger, who wa"
casy terms as mine.',', Tle Tinker and tho 
", Mr. Thorneycroft,'",'," pursued Ginger, `` "
verin' yonr darter.','," @Y@s, i@@s your onl"
"s your only chance,'",', echoed the Tinker. 
"lives for yon, sir,'",', s@id the Sandman ; 
"rportionato re@ard,'",', @If you enable me t
"find me ungratefal,'",', r@joined the iron-m
"e s hundred po@nds,'",', said the Tinkere th
"' 2: And mine, too,'",', said the Sandman. @
"y, as I said afore,'",', remarked Ginger. ``
 their own bargins.','," @@e@l, I assent,'' "
"'' @@e@l, I assent,'",', retamned Mr. Thorne
set out tho better.',', @Are you nrmed 7'' 
'' @Are you nrmed 7',', askod Ginger. @I@h@
"stols in my poeket,'",', replied Thorneycrof
"pops and cutlashes,'",', said Ginger. @So le
ape. @Who is tlis l',', he demanded with so
"sgi@ing. @A friend,'",', replied Ginger. @V@
@e conld do nuff@n@.,'," His name is Receks,"
 in our enterprise.',', L e He elaims a rew
", Mr@ Thorneycroft,'",'," rejoined Reeks, in "
ill not di@ulge it.','," @I give it,'' repli"
"e it.'' @I give it,'",', replied the iron-me
"@No provision, sir,'",', interrupted the oth
nghter is detained.','," @Svear, sir; it is "
"s your only chance,'",', whispered Ginger. @
"ar to keep silence,'",', rejoined Mr. Thorne
ar very mysterious.',', e The wholo affair 
"fair is mysterious,'",'," replied Reeks, t Yo"
get into the coach.',', @Anything more 7'' 
'' @Anything more 7',', asked the iron-merc
"at our destination,'",', rejoined Reeks. : O
chance of sucecess.','," @Bo it as you will,"
"@Bo it as you will,'",', retumned Thorneyero
"clearly understood,'",'," said Reeks, `' and "
"we can now set out,'",'," Upon this, Ginger e"
"We are now arrived,'",'," said Reeks, to the "
ll your resolution.',', @I @ill delirer her
"ish in the attempt,'",'," said Thorne@eroft, "
"ow then, follow me,'",'," said Reeks, ``and a"
 features. @Drink :',', he ecried; ``it wil
much to go through.',', Ebba mechanically t
"se acted foolishly,'",'," ho sail, sternly; `"
havo dono you good.',', Withdrawsing her ey
ehind that curtain?',', shudleringly demand
"@You will see anon,'",', he repliod. ' Meanw
"tten on that paper,'",'," he cried, imperious"
"er frame. @By this,'",'," she cried, ""I surre"
" to you t' @You do,'",', replied the strange
"power of the Fiend,'",'," cried Ebbs, falling"
ng upon her knees. `,',I csll upon Heaven f
protectionl Avauntt',', As the @ords were u
", and what are ye 1'",'," she cried, wild wit"
@ictims of Auriol 1',', replied the figure 
ll you bo ere long.',', @What erime have yo
have you committed?',', demanded Ebba. @We 
"@We have lored him,'",', replied the seecond
. @Is that a crimel','," cried Ebba. @If so,"
 culpable with you.',', @Yon will share our
"ill share our doom,'",', replied the third f
have mercy upon mel',', exclaimed the agoni
l is lost for erer.',', e I cannot yield my
" evren to save him,'",'," cried Ebba, distrac"
"chastisement, then,'",', cried tle voice. An
"ng, into t@e tomb 1'",', cried the @oice. A@
"d, unless you sign,'",', criedl tho voice; '
ternity of torture.',', @I cannot save him 
" I muy precede him,'",', cried Ebba. And thr
t its brink. @Ebbal','," exclaimed Auriol, i"
 spoke not. `Sign 1',', thundered the voice
 in m@ power. SignI','," At this injunction,"
"ll is accomplished,'",', cried the @oice. @A
"r me, old aneestor7'",'," he criod. 4I, thy d"
re is thy treasure?','," After a pause, he s"
" Dost hear, I say 7'",', And ho rcpeatod tho
nd. @WYhat is this1','," criod Rougemont, ga"
"my ancestor's tomb,'",', cried Rougemont; '`
further difficulty.','," W@th this, he hasti"
ears I shnll open l','," cried Rougemont, `'"
s in the laock. So1','," And he tnrnel it, a"
", old Cyprian lics,'",'," he cried. And, prom"
s featnres. ``Aha l','," he exclaimed, closi"
omes from l-ha: hnl',', And seizing the le@
"gth I hase my wish,'",', he ecriel. @Boundle
"atan, for the gift.'",', @@@2 13 ABIOL. T@E 
"tion, Auriol Darcy,'",', cried the person wl
t tolerablo to you.',', @urning round at th
"are me, Rougemont 1'",'," he eried, fiercely."
" do you a mischief,'",'," @Tut, tut, Auriol, "
ieve your distress.',', 4 Will you give me 
u have won from me1',', cried Auriol. @Will
 me from s prison 7',', @I will do all this
"all this, and more,'",', replied Rougemont. 
hest men in London.',', TEE CONPACT. 133 Sp
"snlting jests, sir,'",', cried Auriol. @I@am
" mood to bear them,'",'," @I am not jesting,'"
" @I am not jesting,'",', rejoined Rougemont.
d of my sinceerity.',', Auriol at length as
 @Do yon live heret',', he inquired. @Ask n
" @Ask no questions,'",'," replied Rougemont, "
" 2 @To moek you-no,'",', replied Rougemont. 
"ne will revi@e you,'",'," And as he spoke, he"
"long in onr family,'",'," he added, filling t"
" bewildering drink,'",'," ecried Auriol, sett"
"tomach-that is all,'",', said Rougemout. @Yo
ill be bctter nnon.',', @I feel as if I wer
"f I were going mad,'",', cried Auriol. @It i
 you have given me.',', @Ha1 hal'' laughed 
iven me.'' @Ha1 hal',', laughed Rougemont. 
" I mean no offenee,'",'," rejoined the@other,"
you of this house ?',', @That it is magnifi
" it is magnificent,'",'," replicd Auriol, gaz"
you its possession.',', te It shall be your
"urs, if you please,'",', replied Rougemont. 
e mocking me again.',', @Not in the least. 
" me, if you plense.'",', @At what price?'' a
.'' @At what price?','," asked Auriol, bitte"
"you can easily pny,'",', replied tho other. 
nclude the bargain.',', Proeeeding towards 
"ns of living in it,'",'," said Rongemont, car"
nish yon with them.',', 4 Notes to an immen
an immenso amount 1','," cried Auriol, openi"
"ler with the house,'",'," eried Rougemont, ``"
 and what are you 7',', ee Some men would c
 cnll me the de@ill','," replied Rongemont, "
t upon what terms 7',', demanded Anriol. e 
"easiest imaginable,'",', replied the other. 
"rchment. tSit down,'",', he a@ded; '` nnd re
; '` nnd reud tlis.','," Auriol complied, an"
 you are the Ficnd7',', he cried. @If you w
"@e it so-certsinly,'",', replied the other. 
"e man lI once knew,'",', eried Auriol. tA@au
 dealings with @ou.',', 136 AnIOL. I though
" idle fears, Darey,'",', rejoined the other.
"@ Yon are immortal,'",'," et Trae,'' rejoined"
"mmortal,'' et Trae,'",'," rejoined Auriol, th"
bat yet-'' @P@haw 1','," rejoined the other,"
"ne with the matter,'",', @By this compact I 
"u shall require it,'",', cried Auriol. @Prec
"Auriol. @Precisely,'",', replied the other; 
ing that condition.',', e Bat if I fail in 
"g so, I am doomed--'",', @But you will not f
" you will not fail,'",', interrapted the oth
"yself if I sign it,'",', Ee muttered. @A str
"u fromn utter ruin,'",'," said Rougemont, lea"
uch another chance.',', @Tempter 1'' cried 
hance.'' @Tempter 1','," cried Auriol, hasti"
t-give it me back f','," he eried, endeavonr"
 e It is too late l','," criel the latter, i"
-irredeemably mine.',', eEa 1'' exelaimed A
mably mine.'' eEa 1','," exelaimed Anriol, s"
"sion of your house,'",', pursued Rougemont; 
re my first @ictim.',', @Your first victim1
"ictim1 oh, Hea@en I'",', exelaimed Auriol. `
s on Edith Talbot I',', replied Rougemont. 
nt. e Edith TalbotI',', exclaimed Auriol; @
 than life to yon 2',', @It is becauso she 
" I have chosen her,'",'," rejoined Rougemont,"
 it. I abjure thee.',', And he rushed wildl
" your opinion, @ir1'",', said the hall porte
Rougemont is gone 7','," eried Auriol. @Ol, "
"l, quite snre, sir,'",', cried the hall port
turn this day week.',', @If he eomes I will
"I will not seo him,'",'," eried Anriol, sharp"
"be strictly obeyed,'",', replied the porter.
"e. 4e Now leave me,'",', ceried Anriol. And 
"hter. But I am mad,'",'," he alded, sudlenly "
d mo to my undoing.','," And, hurling the po"
" be in vain to fly,'",', said the nunseen sp
"oe are you, fiend 7'",'," demanded Auriol, gs"
 masy confront you.',', A mocking langh was
"e back the compsct,'",'," eried Anriol, implo"
 me. without Edith.',', @Withont wealth you
"uld not obtain her,'",', replied tho voice. 
hts in the morning.',', IRBESOLTION. 141 4 
cession of wealth 1','," inquired Auriol, af"
ask that q@estion l',', returned tha nnseen
"And now, farewell t'",', The voiee was then 
must yield to fate1','," IThis done, he went"
"t is all I require,'",'," repliod Anriol, sca"
ried before you gof',', cried Auriol. @Scar
" @Scareely, I fear,'",'," replied Mr. Talbot,"
hall be made happy.',', The coincidence bet
ntcd to our nnion 1','," said Auriol, after "
"xed Welnesday nest,'",', pnrsued Anriol ; ``
" take place at all,'",', @Yon are full of mi
"misgi@ings, Auriol,'",', she replied. @I con
"ied. @I confess it,'",', he sanid; `` and my
r father's absenee.','," e Oh, no, Auriol; m"
"nt to seuch a step,'",', she eried. 4 Yon ca
 never deeei@e you.',', Further conversatio
" @Well, here I am 1'",'," he ecried, clasping"
ntire satisfaction.','," @Oh, how delighted "
"ee you, dear pspa l'",'," exclaimed Edith,. e"
ehensions of what t',', cried Mr. Talbot. e
"our happiness, sir,'",', replied A@riol. @Oh
f@ll of idle fearsl',', eried Mr. Talbot. @
". @I ha@e not, sir,'",'," replied Auriol, tur"
"much ta his eredit,'",', replied Mr. Talbot.
"ave yon he@rd, sir7'",', demanded Anriol. @W
" C@prian Rougemont,'",', replied Mr. Talbot;
change the subject.',', Mr. Talbot seated h
" of honour, Anriol,'",'," said Mr. Talbot, cl"
"I ever possess her,'",', mentally ejaculatod
"ne with me, Edith 7'",'," he assked, with a h"
"NIGT. 151 Quite so,'",'," she replied, g@zing"
 be alone with yon.','," t Come, then,'' sai"
"on.'' t Come, then,'",', said Auriol. Elith 
"onght to delude me,'",'," said Rongemont, in "
"to claim my @ictim,'",', @1sa t i s @@e@@@tt
"am-a@l ie preperel,'",'," ssid Rougemont, adr"
" forward. @Yes-yes,'",'," cried Auriol, who f"
emont-go with] him.','," ` Mr. Rougenont,'' "
"'' ` Mr. Rougenont,'",', cried E@ith. @@ou t
"t invite me, madam,'",'," said Ronge@ont, wit"
@oid those persons.',', In another moment t
What is the mattert','," cried Mr. Talbot, w"
"se sold her to him,'",'," replied Auriol, glo"
" mean you, wretch f'",'," eried Mr, Talbot, i"
ce of distraetion. :,',I heard that Cyprian
gone off with her 1',', e Yon ha@o hit tho 
"ha@o hit tho trath,'",', replied Auriol. ' H
aelf to perdition I',', @Borrorl' exclaimed
-breathe your last?','," cried] Auriol, wild"
" 4 A singular room,'",', he obser@ed to Reek
"?'"" @I hardly know,'",', replied the other. 
here till I return.',', @You are not going 
going to leare us R','," rejoined Mr, Thorne"
"eOnly for a moment,'",', ssid Reeks. `Keep q
"thont, do not stir,'",', @What aro we likely
" impossible to say,'",', answered Reeks; '`b
ndanger our safety.',', @Yon are quite sure
ean to abandon us t',', persisted Thorneyce
" no such intention,'",'," reioined Reeks, ste"
"e afeerd, old gent,'",'," said Ginger. e Yes,"
"l take care on yo@,'",', added tha Tinker an
"em as upon me, sir,'",', said Reeks. : Befor
"y one is np-stairs,'",', @@ot's that you say
"tments, Mr. Reeks 7'",', interposed Ginger. 
ns. After a moment@s,'," deliberation, Rouge"
 Darcy who speaks 7',', demanded Reeks. @It
 put the question 7','," @A friend,'' replie"
"tion 7'' @A friend,'",', replied Reeks. - I 
"are no friend here,'",', said Anriol. 159] 4
" 4 ou are mistaken,'",', rejoined Reeks. @I 
s happened to her ?',', dcmanded Reeks. @Sh
"power of tle Fiend,'",', replied Auriol. tI 
" C@prian Rougemont,'",', snid @eeka. ABut wh
"y. @Do not despair,'",', rejoined Reeks. :Sh
e may yet be sa@ed.',', @Sa@ed1 how t'' cri
ed.'' @Sa@ed1 how t',', cried Auriul. @All 
riul. @All is over.',', @So it may seem to 
"it may seem to yon,'",', rejoined Reeks; ``b
"victim of delusion,'",', @OhI that I could t
t I could think sol',', exclaimed Auriol. 4
"what I then beheld,'",'," @Despite all this, "
"will see her again,'",', ssid Reeks. @Who ar
e me this promise ?',', asked Auriol. @Aa I
"declared, a friend,'",', replied Reeks. ' Ar
. ' Are you human 7','," t As yonrself,'' @T"
" 7'' t As yonrself,'",', @Then you seek in v
"powers of @arkness,'",', said Auriol. 160 I 
" Oyprian Rougemont,'",'," rejoined Reeks, wit"
"ems familiar to me,'",', aaid Anriol. @T@Il 
"on shall know anon,'",', replied Reeks. `'Bu
",'' replied Reeks. `",',"But, hist@1we are in"
as happened to him.',', 2 Don't mention a c
"n gent's name here,'",', remarked Ginger; ``
ith proper respect.',', @P@haw I'' exclaime
respect.'' @P@haw I',', exclaimed the Tinke
and thei come baek.',', @St@y where you are
"re, I command you 1'",'," e Vell, ve@'e got a"
"in, I@m a-thinkin','",'," said tha Tinker, wi"
I' e hat's locked 1','," cried Thorneyeroft,"
"a door, to be sure,'",', replied the Tinker.
. @@e@ra prisoners.','," @Oh, Lord, you don'"
", you don't say sol'",', oried the iron-mere
". 4I see how it is,'",', he cried. @Yon hare
s brains blown out.','," And as he spoke, he"
"re you arter, sir ?'",', eried that individa
" @To be sure ve is,'",', added the Sandman. 
in' into a passion.','," e Well, well, I mus"
" myself, I suppose,'",', groane@ Thorneycrof
in a haunted house.',', @@@@e been in many 
"vurser sitivations,'",'," obser@ed Ginger, ``"
ake things quietly.','," @Besides, there@s n"
"e@s no help for it,'",'," said tha Tinker, se"
"remains to be seen,'",', obserred the Sandma
bust open the door.',', @Plenty o' time for
"y o' time for that,'",'," said Ginger, sannte"
" 'em for the world,'",', replied the Sand@@@
hey msy be pisoned.',', ePisoned-nonsense I
ePisoned-nonsense I',', cried Ginger; ``don
 finish it for him.','," @Vith all my 'art,'"
" @Vith all my 'art,'",', said the Tinker. @D
" it on any account,'",', eried Mr. Thorneycr
it may be poisoned.',', @Oht I ain't afeerd
"Oht I ain't afeerd,'",'," cried Ginger, helpi"
", Mr. Thorneyeroft,'",'," ho added, filling a"
"us tipple, by Jo@el'",', drawing a long brea
"n all my born days,'",'," he eontinued, reple"
"ed 2 @Prussie acid,'",', replied Mr. Thorney
oossio fiddlestick1',', eried Ginger; `` mo
"He's gettin' svipy,'",', said tha Tinler@ @I
" 1' @No such thing,'",', cried Thorneyeroft;
"' @I must taste it,'",'," said the Tinker, un"
" 1' @Vith pleasure,'",'," replied Ginger, fil"
"wailed @pon, Sandy,'",'," v YeIl, I s@pose I "
"l, I s@pose I must,'",', replied tho Sandman
he beaks' healths I',', eried Ginger. @I gi
to us dog-faneiers.','," @Dog-fanciers-s@y, "
"rve to be known by,'",', said Mr. Thorneyero
"uarrel about names,'",'," repliel Ginger, 2 1"
 beaka nupholds it.',', @Thero c@n be but o
"furious profession,'",', said Mr. Thorneycro
ences are panished.','," @So I think, sir,''"
"' @So I think, sir,'",'," said Ginger, winkin"
"dasy, I assure yon,'",', repliel Ginger. @@@
"r@e him right, too,'",', said Ginger. : I di
 is ont o' the vay.',', @ShamefulI'' orioed
e vay.'' @ShamefulI',', orioed Mr. Thorneye
"meful, indeed, sir,'",'," echoed Ginger, laug"
" their werry noses,'",', repliedi Ginger. e 
"ir@7 @I do, indeed,'",'," aaid Thorneyeroft, "
ped from tho bench.',', @You're right to sa
"opped from it, sir,'",', laughed Ginger. @I 
g-fancier's friend.','," @It looks likc it, "
"ikc it, I m@st own,'",', repliod Thorneycrof
ht to be protected.',', IE ENCINTED CRAIRS.
alth a second time.',', ee Halloa1 wot's th
Halloa1 wot's that7',', cried the Tinker; '
"ht I heerd a noise,'",'," te So did I,'' rejo"
"ise,'' te So did I,'",', rejoined tho Sandma
oined tho Sandman; `,',a strange sart o' ru
in' sound overheal.',', e There it goes aga
ere it goes again l',', criod Ginger; ` wot
"ow it'a underneath,'",', said Mr. Thorneycro
inery were at work.','," The noise, which up"
if you are spared 7','," %No, I will not,'' "
"'' %No, I will not,'",', repliod the iron-me
s name. @Who is it1',', groaned the dog-fan
fancier. @Look up l','," cried the speaker, "
"can't be, sure@ly@,'",', he cried. `And yet 
"u're near the mark,'",'," replied the other, "
r venerable friend.',', 170 AUIOL. ot tho d
r rayther undress 1',', inquirel Ginger. @V
wice of Mr. Loftus.',', @I@@e got a new mas
"master sincs thoen,'",', replied the dwarf. 
"m sorry to hear it,'",'," said Ginger, shakin"
"Ginger-not Forster,'",', corrected Old Parr.
t master's service.',', @I don't like to as
"ireetly, wenerable,'",'," said Ginger, in a d"
"@il, you would say,'",', supplied Old Parr. 
re's no denying it.',', @Lnl wot n horrible
ot n horrible ideal',', exelaimed Ginger@ w
ur master's power t','," @Yory like it,'' re"
" t'' @Yory like it,'",', replied Old Parr. t
 that occurs to me.',', @Ol Lordl oh Lord@'
"stenl dogs no more,'",'," t In that csse, the"
"ome chance for you,'",', said 0Old Parr. @I 
ry and get you out.',', IE ENCIIAMTED CAIBS
"them to their fate,'",', replied Old Parr. t
", that'll ne@er do,'",', cried Ginger. @@e'r
"t it is, wenerable,'",'," he sdded, seizing h"
r windpipe for yon.',', 4That's not the way
"uce me to help yon,'",'," said Oll Parr, twis"
"t onut, if you can.'",'," @Don't be angry,'' "
"'' @Don't be angry,'",'," cried Ginger, seein"
"d a close prisoner,'",', repliel Old Parr. '
"Ebber, wot of her 1'",'," @I cnn't say,'' rej"
"r 1'' @I cnn't say,'",', rejoined Old Parr. 
' eThen she's dead1','," eriod Ginger, with "
" e That's a secret,'",'," replied tho dwarf, "
not to disolose it.',', eI@@l have it onut 
"on notvithstandin','",', muttered Ginger. @I
t o' the nightmare.',', 17 ARIon. Let this 
"is wakon you, then,'",'," said Old Parr, givi"
inger. @Ha1 ha1 ha1',', screamed the dwarf.
t you're about now.','," @Not exactly,'' sai"
"ow.'' @Not exactly,'",', said Ginger. `I vis
this cursed place I',', te You @houldn't ha
"nto the lion's den,'",'," said Old Parr, in a"
our liberas-] tion.','," So saying, he drew "
ain force. se Ebba1',', ho eried-tEbba I' B
m. e What ails her1',', cried the agonised 
"ba1' e CnIl londer,'",'," said Rongemont, wit"
do you not hear mel','," shrieked Mr, Thorne"
"you should see her,'",'," replied Rongemont, "
 beyond your reach.',', GERARD PASTO. 175 N
"75 Notl so, not sol1",', cried Thorneycroft.
er senses are gone.',', @She is fast bound 
"t bound by a spcll,'",', snid Rougemont. '`I
ll sce her no more.','," And, stretching out"
ro yon not content1',', eried Rougemont. t 
nd your companions.',', @So far from comply
