Contexte gauche,Chaîne,Transcription,Contexte droit
" fiend'"" . J He has,",”,',' replied the strang
renounee you wholly.,”,',' 4 Fol l'' cried th
"ath, take your doom.",”,',' And he stamped on 
itively magnificent.,”,',' @I recollect when 
of the Proteetorate.,”,',' @You cannot get th
"of your head, Morse,",”,',"' said Loftus, smili"
" have been charming,",”,',"' obser@ed Loftus, r"
"t camo to pass, sir,",”,',"' replied Morse, `` "
ve full particulars.,”,',' @You shall henr th
"all henr them, then,",”,',' replied Morse. :Yo
"ame the Restoration,",”,',' pursued MIorse; ``
"k not,'' @No matter,",”,',' cried Loftus; '' h
estal ]more closely.,”,',' xee-;x M I 1 . 1I.
" ee Io be sure I am,",”,',' replied Loftus-`` 
"s equally admirable,",”,',' cried Morse. @Noer
" saw anything finer,",”,',' rejoined Loftus-'`
"reen 'uns, ITm done.",”,',' @Old Spectacles th
"as found it all ont,",”,',' remarked the porte
"DL.@ @Plesh ma 'art,",”,',"' eried the Jew, '`a"
"@l tell 'ee, master,",”,',' rejoined the butch
t into as millstone.,”,',' @Only think of liv
" at it, old gem'man,",”,',' eried the porter. 
"e it'' `'Quita true,",”,',"' replied Loftus, fa"
 closest inspection.,”,',"' @I say, Ned,'' obs"
"tion.'' @I say, Ned,",”,',' obser@ed one of th
ide. See what it is.,”,',' e I'm afraid o' sp
"spikin' myself, Joe,",”,',' replied tho other;
" lift, and @Tll try.",”,',' @Wot are you arter
 tho perlico to you.,”,',' @@ot two proecious
iccable antiquaries.,”,',' TRE STATUE AT CIIA
"d you, Snm ' @Never,",”,',' replied the porter
"uits of my industry,",”,',' cried an applewoma
"'Axes pardon, Molly,",”,',' said the bricklaye
I didn't obsarre ye.,”,',' @Antiquaries be ha
", never heed, Molly,",”,',' cried the good-nat
". @Griuling Gibbons,",”,',"' replied Loftus, wi"
"ine, my good fellow,",”,',' said tha stout gen
be mobbed presently.,”,',"' @Why, how the deri"
" and TI@@l tell you,",”,',' replied the iron-m
"lad to have met you,",”,',' pursued Tlorneycro
bo kept in suspense.,”,',"' @She has left me,'"
"'' @She has left me,",”,',' replied Thorneyero
ent father-run away.,”,',' e Run away'' oxela
even from your lips.,”,',' 4 Wonld it were no
" is, alasl too trae,",”,',' rcplied Thorneycro
y disgraced herself.,”,',"' @No, she is too hi"
"principled for thit,",”,',' eriod Loftas. @Res
"named Anriol Darecy,",”,',' roplied Thor neycr
" never heard of him,",”,',' said Loftus. @But 
"Loftus. @But I ha@e,",”,',' interposed Morse. 
e tno hundred yenrs.,”,',' @Eh day 1 who@s th
"ve engsged as valet,",”,',"' replied Loftus. "" "
en Elizabeth's time.,”,',"' ee It's no faney,'"
"'' ee It's no faney,",”,',' ecried Morse. @I a
"I am sorry I cannot,",”,',' replied Morse. `I 
 in the black cloak.,”,',' @What's that yo@ s
h her disappearance.,”,',' @I shouldn't wonde
"'t wonder if he had,",”,',' replied Morse. @I@
"less than the devil,",”,',"' replied Morso, mys"
ow was half cracked.,”,',""" At this moment, a "
"ger 2 @Exactly, sir,",”,',' replied the dog-fa
news of your darter.,”,',' @OI EbUa?'' exclai
e your news is good.,”,',' :::ccc. I wish it 
@'' werry bad hands.,”,',"' @That she is, if s"
"the black gentleman,",”,',' obsersed Morse. @V
ll be well rewarde@.,”,',' @I@ll do my best t
"out any reward, sir,",”,',"' replied Ginger, '`"
dreadful bad hasnds.,”,',' @Do yon allude to 
to Mr. Auriol Darey?,”,',' cried Thorneycrnft
"plot as your darter,",”,',' replied Ginger; ' 
omo to my knowledge.,”,',' @Yon alarm me grea
"by-these dark hints,",”,',' cried Thorneycroft
"know in a few hours,",”,',' replied Ginger. @I
Yon must come alone.,”,',' 4 I should wish th
"aw, to aceompany me,",”,',' said Thorneyeroft.
"o couldn't help you,",”,',' replied Ginger. @I
meet again ere ]ong.,”,',' And withont a word
", Mfr. Thornoycroft,",”,',"' said Ginger, who w"
 casy terms as mine.,”,',' Tle Tinker and tho
"', Mr. Thorneycroft,",”,',"' pursued Ginger, ``"
overin' yonr darter.,”,',"' @Y@s, i@@s your on"
"@s your only chance,",”,',' echoed the Tinker.
" lives for yon, sir,",”,',' s@id the Sandman ;
" find me ungratefal,",”,',' r@joined the iron-
"@e s hundred po@nds,",”,',' said the Tinkere t
"'' 2: And mine, too,",”,',' said the Sandman. 
"ry, as I said afore,",”,',' remarked Ginger. `
e their own bargins.,”,',"' @@e@l, I assent,''"
".'' @@e@l, I assent,",”,',' retamned Mr. Thorn
 set out tho better.,”,',' @Are you nrmed 7''
"istols in my poeket,",”,',' replied Thorneycro
" pops and cutlashes,",”,',' said Ginger. @So l
"isgi@ing. @A friend,",”,',' replied Ginger. @V
n in our enterprise.,”,',' L e He elaims a re
"m, Mr@ Thorneycroft,",”,',"' rejoined Reeks, in"
will not di@ulge it.,”,',"' @I give it,'' repl"
"ge it.'' @I give it,",”,',' replied the iron-m
" @No provision, sir,",”,',' interrupted the ot
anghter is detained.,”,',"' @Svear, sir; it is"
"is your only chance,",”,',' whispered Ginger. 
"ear to keep silence,",”,',' rejoined Mr. Thorn
ear very mysterious.,”,',' e The wholo affair
"ffair is mysterious,",”,',"' replied Reeks, t Y"
 get into the coach.,”,',' @Anything more 7''
" at our destination,",”,',' rejoined Reeks. : 
 chance of sucecess.,”,',' @Bo it as you will
" @Bo it as you will,",”,',' retumned Thorneyer
" clearly understood,",”,',"' said Reeks, `' and"
"@We are now arrived,",”,',"' said Reeks, to the"
all your resolution.,”,',' @I @ill delirer he
"rish in the attempt,",”,',"' said Thorne@eroft,"
"Now then, follow me,",”,',"' said Reeks, ``and "
and aet as I direct.,”,', With this he struek
 much to go through.,”,',' Ebba mechanically 
"ase acted foolishly,",”,',"' ho sail, sternly; "
 havo dono you good.,”,',' Withdrawsing her e
behind that curtain?,”,',' shudleringly deman
" @You will see anon,",”,',' he repliod. ' Mean
"itten on that paper,",”,',"' he cried, imperiou"
"her frame. @By this,",”,',"' she cried, ""I surr"
", to you t' @You do,",”,',' replied the strang
" power of the Fiend,",”,',"' cried Ebbs, fallin"
ill you bo ere long.,”,',' @What erime have y
 have you committed?,”,',' demanded Ebba. @We
" @We have lored him,",”,',' replied the seecon
y culpable with you.,”,',' @Yon will share ou
"will share our doom,",”,',' replied the third 
ol is lost for erer.,”,',' e I cannot yield m
", evren to save him,",”,',"' cried Ebba, distra"
" chastisement, then,",”,',' cried tle voice. A
"ed, unless you sign,",”,',' criedl tho voice; 
eternity of torture.,”,',' @I cannot save him
"t I muy precede him,",”,',' cried Ebba. And th
despsir. @Is it you?,”,', 1A AU1OL. The figur
"All is accomplished,",”,',' cried the @oice. @
ere is thy treasure?,”,',"' After a pause, he "
" my ancestor's tomb,",”,',' cried Rougemont; '
 further difficulty.,”,',"' W@th this, he hast"
"n, old Cyprian lics,",”,',"' he cried. And, pro"
"ngth I hase my wish,",”,',' he ecriel. @Boundl
"Satan, for the gift.",”,',' @@@2 13 ABIOL. T@E
"ction, Auriol Darcy,",”,',' cried the person w
it tolerablo to you.,”,',' @urning round at t
lieve your distress.,”,',' 4 Will you give me
" all this, and more,",”,',' replied Rougemont.
chest men in London.,”,',' TEE CONPACT. 133 S
"nsnlting jests, sir,",”,',' cried Auriol. @I@a
"' @I am not jesting,",”,',' rejoined Rougemont
ed of my sinceerity.,”,',' Auriol at length a
". @Ask no questions,",”,',"' replied Rougemont,"
"r 2 @To moek you-no,",”,',' replied Rougemont.
" long in onr family,",”,',"' he added, filling "
", bewildering drink,",”,',"' ecried Auriol, set"
"stomach-that is all,",”,',' said Rougemout. @Y
will be bctter nnon.,”,',' @I feel as if I we
"if I were going mad,",”,',' cried Auriol. @It 
n you have given me.,”,',' @Ha1 hal'' laughed
"1 I mean no offenee,",”,',' rejoined the@other
 you of this house ?,”,',' @That it is magnif
"t it is magnificent,",”,',"' replicd Auriol, ga"
 you its possession.,”,',' te It shall be you
"ours, if you please,",”,',' replied Rougemont.
re mocking me again.,”,',' @Not in the least.
"m me, if you plense.",”,',' @At what price?'' 
e.'' @At what price?,”,',"' asked Auriol, bitt"
" you can easily pny,",”,',' replied tho other.
onclude the bargain.,”,',' Proeeeding towards
"ans of living in it,",”,',"' said Rongemont, ca"
rnish yon with them.,”,',' 4 Notes to an imme
"tler with the house,",”,',"' eried Rougemont, `"
" easiest imaginable,",”,',' replied the other.
"archment. tSit down,",”,',' he a@ded; '` nnd r
d; '` nnd reud tlis.,”,',"' Auriol complied, a"
"a@e it so-certsinly,",”,',' replied the other.
"he man lI once knew,",”,',' eried Auriol. tA@a
o dealings with @ou.,”,',' 136 AnIOL. I thoug
"h idle fears, Darey,",”,',' rejoined the other
"immortal,'' et Trae,",”,',"' rejoined Auriol, t"
"ou shall require it,",”,',' cried Auriol. @Pre
" Auriol. @Precisely,",”,',' replied the other;
ling that condition.,”,',' e Bat if I fail in
"t you will not fail,",”,',' interrapted the ot
"myself if I sign it,",”,',' Ee muttered. @A st
"ou fromn utter ruin,",”,',"' said Rougemont, le"
such another chance.,”,',' @Tempter 1'' cried
e-irredeemably mine.,”,',' eEa 1'' exelaimed 
"ssion of your house,",”,',' pursued Rougemont;
ire my first @ictim.,”,',' @Your first victim
"t I have chosen her,",”,',' rejoined Rougemont
f it. I abjure thee.,”,',' And he rushed wild
"Ol, quite snre, sir,",”,',' cried the hall por
eturn this day week.,”,',' @If he eomes I wil
" I will not seo him,",”,',"' eried Anriol, shar"
" be strictly obeyed,",”,',' replied the porter
"se. 4e Now leave me,",”,',' ceried Anriol. And
"ghter. But I am mad,",”,',"' he alded, sudlenly"
ed mo to my undoing.,”,',"' And, hurling the p"
"l be in vain to fly,",”,',' said the nunseen s
I masy confront you.,”,',' A mocking langh wa
"me back the compsct,",”,',"' eried Anriol, impl"
o me. without Edith.,”,',' @Withont wealth yo
"ould not obtain her,",”,',' replied tho voice.
ghts in the morning.,”,',' IRBESOLTION. 141 4
"at is all I require,",”,',"' repliod Anriol, sc"
". @Scareely, I fear,",”,',' replied Mr. Talbot
shall be made happy.,”,',' The coincidence be
"ixed Welnesday nest,",”,',' pnrsued Anriol ; `
" misgi@ings, Auriol,",”,',' she replied. @I co
"lied. @I confess it,",”,',' he sanid; `` and m
ur father's absenee.,”,',"' e Oh, no, Auriol; "
"ent to seuch a step,",”,',' she eried. 4 Yon c
l never deeei@e you.,”,',' Further conversati
entire satisfaction.,”,',"' @Oh, how delighted"
" our happiness, sir,",”,',' replied A@riol. @O
"y. @I ha@e not, sir,",”,',"' replied Auriol, tu"
" much ta his eredit,",”,',' replied Mr. Talbot
"f C@prian Rougemont,",”,',' replied Mr. Talbot
 change the subject.,”,',' Mr. Talbot seated 
"n of honour, Anriol,",”,',"' said Mr. Talbot, c"
have no doubt of it@,”,'," e Nor I,--if I ever"
" I ever possess her,",”,',' mentally ejaculato
" NIGT. 151 Quite so,",”,',"' she replied, g@zin"
o be alone with yon.,”,',"' t Come, then,'' sa"
"yon.'' t Come, then,",”,',' said Auriol. Elith
"honght to delude me,",”,',"' said Rongemont, in"
"dam-a@l ie preperel,",”,',"' ssid Rougemont, ad"
"o forward. @Yes-yes,",”,',"' cried Auriol, who "
gemont-go with] him.,”,',"' ` Mr. Rougenont,''"
"ot invite me, madam,",”,',"' said Ronge@ont, wi"
a@oid those persons.,”,',' In another moment 
"ase sold her to him,",”,',"' replied Auriol, gl"
" ha@o hit tho trath,",”,',' replied Auriol. ' 
". 4 A singular room,",”,',' he obser@ed to Ree
 find any one here ?,”,',""" @I hardly know,'' "
" ?'"" @I hardly know,",”,',' replied the other.
 here till I return.,”,',' @You are not going
" eOnly for a moment,",”,',' ssid Reeks. `Keep 
"s impossible to say,",”,',' answered Reeks; '`
endanger our safety.,”,',' @Yon are quite sur
"e no such intention,",”,',"' reioined Reeks, st"
"be afeerd, old gent,",”,',' said Ginger. e Yes
"ll take care on yo@,",”,',' added tha Tinker a
"hem as upon me, sir,",”,',' said Reeks. : Befo
"anded Reeks. @It is,",”,', replied the prisone
"stion 7'' @A friend,",”,',' replied Reeks. - I
"hare no friend here,",”,',' said Anriol. 159] 
"] 4 ou are mistaken,",”,',' rejoined Reeks. @I
roft to deliver you.,”,', @Mr. Thorneycroft h
"s lost his daughter,",”,', replied Auriol. @Wh
as happened to her ?,”,',' dcmanded Reeks. @S
" power of tle Fiend,",”,',' replied Auriol. tI
"y C@prian Rougemont,",”,',' snid @eeka. ABut w
"ly. @Do not despair,",”,',' rejoined Reeks. :S
he may yet be sa@ed.,”,',' @Sa@ed1 how t'' cr
uriul. @All is over.,”,',' @So it may seem to
" it may seem to yon,",”,',' rejoined Reeks; ``
" will see her again,",”,',' ssid Reeks. @Who a
@e me this promise ?,”,',' asked Auriol. @Aa 
" declared, a friend,",”,',' replied Reeks. ' A
" powers of @arkness,",”,',' said Auriol. 160 I
"f Oyprian Rougemont,",”,',"' rejoined Reeks, wi"
"eems familiar to me,",”,',' aaid Anriol. @T@Il
"Yon shall know anon,",”,',' replied Reeks. `'B
has happened to him.,”,',' 2 Don't mention a 
"in gent's name here,",”,',' remarked Ginger; `
vith proper respect.,”,',' @P@haw I'' exclaim
 and thei come baek.,”,',' @St@y where you ar
"ere you are, rascnl@",”,'," cried Thorneyeroft,"
"ain, I@m a-thinkin',",”,',"' said tha Tinker, w"
"ha door, to be sure,",”,',' replied the Tinker
r. @@e@ra prisoners.,”,',"' @Oh, Lord, you don"
"y. 4I see how it is,",”,',' he cried. @Yon har
is brains blown out.,”,',"' And as he spoke, h"
"are you arter, sir ?",”,',' eried that individ
as vell as yourself@,”,'," @To be sure ve is,'"
"' @To be sure ve is,",”,',' added the Sandman.
tin' into a passion.,”,',"' e Well, well, I mu"
"n myself, I suppose,",”,',' groane@ Thorneycro
 in a haunted house.,”,',' @@@@e been in many
" vurser sitivations,",”,',"' obser@ed Ginger, `"
take things quietly.,”,',"' @Besides, there@s "
"re@s no help for it,",”,',"' said tha Tinker, s"
" remains to be seen,",”,',' obserred the Sandm
 bust open the door.,”,',' @Plenty o' time fo
"ty o' time for that,",”,',"' said Ginger, sannt"
outhful o' wittles ?,”,', :I wouldn't touch '
"h 'em for the world,",”,',' replied the Sand@@
"the Sand@@@e @Nor I,",”,', added tho Tinker; `
they msy be pisoned.,”,',' ePisoned-nonsense 
t finish it for him.,”,',"' @Vith all my 'art,"
"' @Vith all my 'art,",”,',' said the Tinker. @
"h it on any account,",”,',' eried Mr. Thorneyc
 it may be poisoned.,”,',' @Oht I ain't afeer
"@Oht I ain't afeerd,",”,',"' cried Ginger, help"
"h, Mr. Thorneyeroft,",”,',"' ho added, filling "
"in all my born days,",”,',"' he eontinued, repl"
"led 2 @Prussie acid,",”,',' replied Mr. Thorne
"@He's gettin' svipy,",”,',' said tha Tinler@ @
"y 1' @No such thing,",”,',' cried Thorneyeroft
ft; : let him alone.,”,'," @I must taste it,''"
".' @I must taste it,",”,',"' said the Tinker, u"
"r 1' @Vith pleasure,",”,',"' replied Ginger, fi"
"Il, I s@pose I must,",”,',' replied tho Sandma
 to us dog-faneiers.,”,',"' @Dog-fanciers-s@y,"
"erve to be known by,",”,',' said Mr. Thorneyer
"quarrel about names,",”,',"' repliel Ginger, 2 "
e beaka nupholds it.,”,',' @Thero c@n be but 
"efurious profession,",”,',' said Mr. Thorneycr
fences are panished.,”,',"' @So I think, sir,'"
"'' @So I think, sir,",”,',"' said Ginger, winki"
" dasy, I assure yon,",”,',' repliel Ginger. @@
"ar@e him right, too,",”,',' said Ginger. : I d
t is ont o' the vay.,”,',' @ShamefulI'' orioe
"ameful, indeed, sir,",”,',"' echoed Ginger, lau"
noses of the police@,”,', @riod Thorne@eroft.
"r their werry noses,",”,',' repliedi Ginger. e
"sir@7 @I do, indeed,",”,',"' aaid Thorneyeroft,"
pped from tho bench.,”,',' @You're right to s
"ropped from it, sir,",”,',' laughed Ginger. @I
og-fancier's friend.,”,',"' @It looks likc it,"
"likc it, I m@st own,",”,',' repliod Thorneycro
ght to be protected.,”,',' IE ENCINTED CRAIRS
"nt state of the law,",”,', suid Ginger; ``here
ealth a second time.,”,',' ee Halloa1 wot's t
"oise,'' te So did I,",”,',' rejoined tho Sandm
lin' sound overheal.,”,',' e There it goes ag
"Now it'a underneath,",”,',' said Mr. Thorneycr
hinery were at work.,”,',"' The noise, which u"
"7'' %No, I will not,",”,',' repliod the iron-m
" can't be, sure@ly@,",”,',' he cried. `And yet
"ou're near the mark,",”,',"' replied the other,"
ur venerable friend.,”,',' 170 AUIOL. ot tho 
rwice of Mr. Loftus.,”,',' @I@@e got a new ma
" master sincs thoen,",”,',' replied the dwarf.
"@m sorry to hear it,",”,',"' said Ginger, shaki"
" Ginger-not Forster,",”,',' corrected Old Parr
nt master's service.,”,',' @I don't like to a
"direetly, wenerable,",”,',"' said Ginger, in a "
"e@il, you would say,",”,',' supplied Old Parr.
ere's no denying it.,”,',' @Lnl wot n horribl
"r t'' @Yory like it,",”,',' replied Old Parr. 
e that occurs to me.,”,',' @Ol Lordl oh Lord@
' @Ol Lordl oh Lord@,”,', gro@ned Ginger; @I@
"some chance for you,",”,',' said 0Old Parr. @I
try and get you out.,”,',' IE ENCIIAMTED CAIB
" them to their fate,",”,',' replied Old Parr. 
"o, that'll ne@er do,",”,',' cried Ginger. @@e'
"ot it is, wenerable,",”,',"' he sdded, seizing "
ur windpipe for yon.,”,',' 4That's not the wa
"duce me to help yon,",”,',"' said Oll Parr, twi"
"et onut, if you can.",”,',"' @Don't be angry,''"
".'' @Don't be angry,",”,',"' cried Ginger, seei"
"nd a close prisoner,",”,',' repliel Old Parr. 
"er 1'' @I cnn't say,",”,',' rejoined Old Parr.
spesk to tho living.,”,', eThen she's dead1''
". e That's a secret,",”,',"' replied tho dwarf,"
 not to disolose it.,”,',' eI@@l have it onut
"yon notvithstandin',",”,',' muttered Ginger. @
it o' the nightmare.,”,',' 17 ARIon. Let this
"his wakon you, then,",”,',"' said Old Parr, giv"
at you're about now.,”,',"' @Not exactly,'' sa"
"now.'' @Not exactly,",”,',' said Ginger. `I vi
"into the lion's den,",”,',"' said Old Parr, in "
your liberas-] tion.,”,',"' So saying, he drew"
"@ba1' e CnIl londer,",”,',"' said Rongemont, wi"
" you should see her,",”,',"' replied Rongemont,"
s beyond your reach.,”,',' GERARD PASTO. 175 
Her senses are gone.,”,',' @She is fast bound
"st bound by a spcll,",”,',' snid Rougemont. '`
ill sce her no more.,”,',"' And, stretching ou"
and your companions.,”,',' @So far from compl
"led your doom, then,",”,',' replied Rongemont.
ed. Bring him along.,”,',"' And, followed by t"
"h, Mr. Thorneyeroft,",”,',"' cried Anuriol, @t "
royed your dsughter.,”,',' 176 AUnIOL. 1 Yon 
"shm@nt. @It is true,",”,',' said Rougemont. @I
t had been possible@,”,', cried Auriol. @I wa
 meshes-but in v@in.,”,',' e Oh 1'' ejaeulate
"o blame him, not mo,",”,',"' said Rougemont, wi"
"that my brain reels,",”,',' eriod Thorneyoroft
"the miseruable li@e,",”,',"' said Rougemont, wi"
word before we part.,”,',"' ``Ay, holdI'' echo"
"nd victim 1' @It is,",”,',' replied the other.
" is at hand, Auriol.",”,',' @And you have dare
@ll share his fatoe.,”,',' @I am not to be in
"imidated by threats,",”,',"' replied Paston, wi"
llets can injare me.,”,',' @@e'll try thatl''
"al your weapons are,",”,',"' ssid Rongemont, wi"
"f. @I will try mine,",”,',' said Paston. But b
"`` Ask no questions,",”,',' rejoined the dwarf
" every chanee of it,",”,',' rejoined Old Panr.
share A@riol's fate.,”,',"' te Oh, Lord1 I hop"
"h, Lord1 I hope not,",”,',' groaned the iron-m
ll drop in a minute.,”,',"' @Come along, I say"
" @Come along, I say,",”,',' screamed the dwnrf
hem close behind us.,”,',"' And as he spoke, s"
"t stir another step,",”,',' gasped the iron-me
etter yield at onco.,”,',"' @What, without a s"
"t for e@er as it is,",”,',' eried tho iron-mer
"he may yet be sared,",”,',' rejoined the dwarf
are close behind us.,”,',' And it was evident
"-we shall be canght,",”,',"' he cried, t and th"
emont's displeasure.,”,',' The iron-merchant 
"'s all o@er with me,",”,',' he ssid. `I gire i
"' e No-we are saved,",”,',"' eried the dwarf, a"
"way to intercept ns,",”,',"' cried Old Parr, wh"
"yeroft,'' @I@I1 try,",”,',' replied the iron-m
"eseue your daughter,",”,',' rejoined Old Parr.
". @Not in the least,",”,',' returned the dwarf
hoice in tha matter.,”,',' @@on haven't told 
" hardly know myself,",”,',' replied the dwarf;
int we started from.,”,',' @I think we are tu
"ing ronnd ourselves,",”,',' cried Thorney crof
"strange, I mnst say,",”,',' remarked the dwarf
re moving around us.,”,',"' @Tley are moving,'"
"'' @Tley are moving,",”,',' eried Thorneycroft
"place seems on fire,",”,',' eried tho dwarft. 
"I.--to be snre I do,",”,',' cried the iron-mer
"I'' 4 Don't mind it,",”,',"' cried the dwarf, w"
be out of the smoke.,”,',""" :I can't stand it,"
""" :I can't stand it,",”,',' eried Mr. Thorneyc
"esh air in a minute,",”,',' rejoined Old Parr.
come to a dead stop.,”,',"' 4Dead stop, indeed"
"lid wull@that's all,",”,',' replied Old Parr. 
e're antombed ali@o.,”,',"' 18a3 iI@am,'' said"
"ali@o.'' 18a3 iI@am,",”,',"' said the dwarf, wi"
nothing can harm me.,”,',' 2Don't bo too suro
"bo too suro of that,",”,',' cried a @oice abo@
"warf. e N-o-o-not I,",”,',' gasped tho iron-me
help to drag me o@t.,”,',' @Get out if yon ca
"@Get out if yon can,",”,',' cried the voico th
"a Rougemont himself,",”,',"' cried the dwarf, i"
n there's no escape.,”,',"' @None whatever, ra"
"ne whatever, rascal,",”,',' replied the unseen
 work for you to do.,”,',' @I won't lea@e MIr
"e MIr. Thorneyeroft,",”,',"' eried the dw@rf, r"
d I@ll keep my word.,”,',' ee Fool I'' cried 
"e, Mr. Thorneyeroft,",”,',' secreamed Old Parr
of me-pall mo] down.,”,',' Well-nigh stifled 
"rtainly, Mr. Tinker,",”,',' replied the iron@m
ou're got with you ?,”,',"' `:Vy, who should i"
" be bnt the 8andmsn,",”,',' rejoined the other
ies into the bargin.,”,',"' 4 Yes, ve@'e fonnd"
"'e fonnd it all ont,",”,',' added the Tinker. 
"d gent, not so fast,",”,',' rejoined the Tinke
a nice young 'ooman.,”,',' @Oh 1 it m@st be h
" her-no doubt of it,",”,',' eried the iron@mer
ut a moment's delay.,”,',' @But ve can't get 
" to her, I tell 'ee,",”,',' replied the Iinker
"shut up,-that's all.",”,',"' @Take me to it,'' "
"l.'' @Take me to it,",”,',' cried Mr. Thorneye
"step this vay, then,",”,',' rejoined thei Tink
"rter yon 7'' @Not I,",”,', replied the other; 
he other; ``open it.,”,',"' @Easily said,'' re"
" it.'' @Easily said,",”,',' rejoined the Tinke
"t ha@e followed you,",”,',' groaned Thorneycro
"and from above, too,",”,',' cried the Sandman.
"nt. @Look np, I say,",”,',' cried the Sandman.
"L. t"" Ay, ay, I see,",”,',' replied the other.
s as fast as ve can.,”,',' And he kicked and 
ming nll this while.,”,', EW PEPLEXINIES. 189
" works to a miracle,",”,',' muttered s persona
"Ah1 I see how it is,",”,',"' he added, with a s"
ich I have laboured.,”,',' @I will aet upon t
" aet upon that hint,",”,',' muttered the liste
" what use is memory,",”,',"' continued A@riol, "
"h from this dungeon,",”,',"' pursued Auriol, ag"
" 1'' e Now it comes,",”,',' eried the listener
"pursues this strain,",”,',' said the listener.
y a lifa of penance.,”,',' Mt tlis moment Rou
"in your old faneies,",”,',' rejoined --NEW EnP
ld ha@e amended you.,”,',' @Tell me who and w
"e who and what I am,",”,',"' cried Auriol, stup"
"ealled Anriol Darey,",”,',' replioi Rougemont;
recorer your reason.,”,',' @Amazement?'' crie
"s of your condition,",”,',' replied Rongemontg
to raging frenxzies.,”,',' @And I have been s
np here for safety ?,”,',' demanded Auriol. e
"Auriol. e Precisely,",”,',' obserred tlo other
"re@-' 4 Your keeper,",”,',' replied Rongemont.
"en ravred about her,",”,',' replied Rougemont.
 of the imagination.,”,',"' Auriol groaned, an"
"orth into the world,",”,',' said Rongemont; ``
"ll, for the present.",”,',' And casting a sini
"ts, sol@e my donbts,",”,',' he cried alond. tI
are worse than ever.,”,',' Auriol uttered a g
" to another chamber,",”,',"' he pursued, t wher"
re strictly watched.,”,',' @Take me forth-oh 
"-oh I take me forth,",”,',' cried Anriol. eeIt
 which I now repent.,”,',' @I dare not trust 
l we met a misehiet.,”,',' @I have no recolle
"y sueh circumstance,",”,',"' returned Auriol, m"
"l'' ' Ay, both gone,",”,',"' cried tho other, w"
terrible interviaws.,”,',"' @What, you are in "
"ants, and bind] you.",”,',' @Let me be-let ms 
 Only take me forth.,”,',' eeI came for that 
"me for that parpose,",”,',' said Rougemont; `b
master of yonrsalft.,”,'," eTry mo,' said Anri"
"yonrsalft.' eTry mo,",”,'," said Anriol. @Well,"
" said Anriol. @Well,",”,',' rejoined tle other
 c@n do@to c@lm you.,”,',"' So saying, he disa"
"n a soothing potion,",”,',"' he remarked, after"
" condition to judge,",”,',' rejoined the other
" then, come with me,",”,',"' hs said, ``' and d"
"re 2'"" @Very likely,",”,',"' replied Rougemont,"
sary to confine him.,”,',' @His grandson1 I-D
" are you, young sir,",”,',' returned the dwarf
"nt. `Alack, no, sir,",”,',' replied the dwarf;
". But you know, sir,",”,',"' he added, touching"
not of the clearest.,”,',' @Wuere does my gra
"iol. @why here, sir,",”,',' replied the dwarf;
hey are damp enough.,”,',' Auriol was lost in
"s, as yon know, sir,",”,',"' repliod the dwarf,"
"l, if he desires it@",”,', @Yon will eonfer th
"r on me by doing so,",”,',"' cried Auriol, risi"
seertain his wi@hee.,”,',"' So saying, he quit"
"ndsire will see yon,",”,',' said the mannikin.
"e word before we go,",”,',"' cried Auriol, seiz"
"ster,'' e Pardon me,",”,',' replied A@riol; `I
anon. Now follow me.,”,',' And taking up the 
"e Come in, grandson,",”,',"' said the old man, "
ls me--mnuch better.,”,',' @Are yon indeed li
" his hand. @Of,-off@",”,'," cried tho old man, "
ay do me a mischief.,”,',' e I have no such i
"such intention, sir,",”,',' ssid Anriol; @inde
re my aged relative.,”,',' 4 To be sure he is
"re he is, yonng sir,",”,',' interposed the dwa
"ubt it@1 e Oh 1 sir,",”,',"' cried Auriol, thro"
"ot decei@ei, my son,",”,',' replied the old ma
"lk the matter orer,.",”,',"' And, as he ssid th"
"th from that window,",”,',' he asaid. @Convine
"at I am what I seem,",”,',' replied Auriol. @L
". @Look forth, then,",”,',' said tha old man. 
een so long waiting.,”,',' Auriol then walked
ies in a few nights.,”,',' =3 ----mr 1 T TIB 
